callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,telegram_caption_html,telegram_closing_cta,telegram_intro,telegram_item_line,telegram_title,theme_label
Hero discount,90,hero_discount,high_value_discount,steam:1237970,Titanfall® 2,90% off to UAH 79,1,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,296.85,Steam,90% off to UAH 79 | Hero discount | review 96/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.

1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит
2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт
3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт
4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра
5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра

Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.","1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,70,hero_discount,high_value_discount,steam:394360,Hearts of Iron IV,70% off to UAH 404,2,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,288.83,Steam,70% off to UAH 404 | Hero discount | review 90/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.

1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит
2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт
3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт
4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра
5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра

Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.","2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,70,hero_discount,high_value_discount,steam:1158310,Crusader Kings III,70% off to UAH 404,3,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,288.79,Steam,70% off to UAH 404 | Hero discount | review 91/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.

1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит
2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт
3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт
4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра
5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра

Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.","3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,95,hero_discount,high_value_discount,steam:1222680,Need for Speed™ Heat,95% off to UAH 99,4,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,283.36,Steam,95% off to UAH 99 | Hero discount | review 84/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.

1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит
2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт
3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт
4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра
5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра

Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.","4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,95,hero_discount,high_value_discount,steam:1238810,Battlefield™ V,95% off to UAH 64,5,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,278.7,Steam,95% off to UAH 64 | Hero discount | review 71/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.

1. <a href=""https://store.steampowered.com/app/1237970/Titanfall_2/""><b>Titanfall® 2</b></a> - 90% до 79 грн, критичний фаворит
2. <a href=""https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/""><b>Hearts of Iron IV</b></a> - 70% до 404 грн, знаковий хіт
3. <a href=""https://store.steampowered.com/app/1158310/Crusader_Kings_III/""><b>Crusader Kings III</b></a> - 70% до 404 грн, знаковий хіт
4. <a href=""https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/""><b>Need for Speed™ Heat</b></a> - 95% до 99 грн, дуже популярна гра
5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра

Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","Якщо з цієї добірки брати щось першим, пишіть у коментарях, що забрали б одразу.","🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найсильніші резервні знижки цього вікна: тут є і великі імена, і справді сильні пропозиції, які не хочеться втрачати у резерві.","5. <a href=""https://store.steampowered.com/app/1238810/Battlefield_V/""><b>Battlefield™ V</b></a> - 95% до 64 грн, дуже популярна гра",Що взяти зі знижок просто зараз,Big Discount Highlights
