bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,score,source,title
planned,"[""freebie_backlog""]",new_offer,[],{},breaking_freebie,"{""forced"": false, ""reasons"": []}",False,steam:214340,"[""event_or_freebie""]",planned,170.0,steam,Deponia
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:255710,"[""review_threshold""]",planned,196.23,steam,Cities: Skylines
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:582660,"[""review_threshold""]",planned,189.45,steam,Black Desert
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2698940,"[""review_threshold""]",planned,186.55,steam,The Crew Motorfest
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:552520,"[""review_threshold""]",planned,188.96,steam,Far Cry® 5
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:646570,"[""review_threshold""]",planned,184.28,steam,Slay the Spire
reserve,"[""high_value_discount""]",new_offer,[],{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1693980,"[""review_threshold""]",planned,183.34,steam,Dead Space
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:567640,"[""review_threshold""]",planned,181.76,steam,Danganronpa V3: Killing Harmony
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:548430,"[""review_threshold""]",planned,181.29,steam,Deep Rock Galactic
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:394360,"[""review_threshold""]",planned,179.83,steam,Hearts of Iron IV
