callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,telegram_caption_html,telegram_closing_cta,telegram_intro,telegram_item_line,telegram_title,theme_label
Hero discount,75,hero_discount,high_value_discount,steam:281990,Stellaris,75% off to UAH 269,1,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,255.91,Steam,75% off to UAH 269 | Hero discount | review 86/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні
2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні
3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні
4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки
5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,90,hero_discount,high_value_discount,steam:1774580,STAR WARS Jedi: Survivor™,90% off to UAH 169,2,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:very_popular"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,253.76,Steam,90% off to UAH 169 | Hero discount | review 70/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні
2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні
3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні
4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки
5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,70,hero_discount,high_value_discount,steam:1326470,Sons Of The Forest,70% off to UAH 180,3,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,248.96,Steam,70% off to UAH 180 | Hero discount | review 88/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні
2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні
3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні
4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки
5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,35,hero_discount,high_value_discount,steam:1245620,ELDEN RING,35% off to UAH 1169,4,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,245.51,Steam,35% off to UAH 1169 | Hero discount | review 93/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні
2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні
3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні
4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки
5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,50,hero_discount,high_value_discount,steam:814380,Sekiro™: Shadows Die Twice - GOTY Edition,50% off to UAH 1017,5,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,245.42,Steam,50% off to UAH 1017 | Hero discount | review 95/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/281990/Stellaris/""><b>Stellaris</b></a> — 75% до 269 грн, великий хіт у сильній ціні
2. <a href=""https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/""><b>STAR WARS Jedi: Survivor™</b></a> — 90% до 169 грн, помітний хіт у сильній ціні
3. <a href=""https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/""><b>Sons Of The Forest</b></a> — 70% до 180 грн, великий хіт у сильній ціні
4. <a href=""https://store.steampowered.com/app/1245620/ELDEN_RING/""><b>ELDEN RING</b></a> — 35% до 1169 грн, велике ім’я добірки
5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото зібрав короткий редакторський список без випадкових позицій. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","5. <a href=""https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/""><b>Sekiro™: Shadows Die Twice - GOTY Edition</b></a> — 50% до 1017 грн, критичний фаворит",Що взяти зі знижок просто зараз,Big Discount Highlights
