bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,recommended_post_mode,score,selection_outcome,source,title
planned,"[""event_festival"", ""editorial_importance:card_ready""]",new_offer,[],"{""active"": true, ""linked"": false, ""mode"": ""auto""}",event_festival,"{""forced"": false, ""reasons"": []}",True,event:category:tower_defense,"[""event_or_freebie""]",planned,solo_post,120.75,planned,event,Steam Tower Defense Fest is on now!
reserve,"[""freebie_roundup_candidate"", ""freebie_source:epic"", ""freebie_meaningful_value"", ""freebie_card_ready"", ""editorial_importance:card_ready""]",new_offer,[],"{""active"": false, ""linked"": false, ""mode"": ""auto""}",backlog_filler,"{""forced"": false, ""reasons"": []}",False,epic:4889207626a44fed973f5e72ae79ce9d,"[""event_or_freebie""]",reserve,roundup_candidate,154.75,reserve,epic,Isonzo
reserve,"[""freebie_roundup_candidate"", ""freebie_source:epic"", ""freebie_card_ready"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_repeat_no_alternative"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",backlog_filler,"{""forced"": false, ""reasons"": []}",False,epic:c367569acede446995c5a3663e993446,"[""event_or_freebie""]",reserve,roundup_candidate,151.75,reserve,epic,Cozy Grove
