callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,telegram_caption_html,telegram_closing_cta,telegram_intro,telegram_item_line,telegram_title,theme_label
Hero discount,50,hero_discount,high_value_discount,steam:252490,Rust,50% off to UAH 349,1,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,234.91,Steam,50% off to UAH 349 | Hero discount | review 87/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/252490/Rust/""><b>Rust</b></a> — 50% до 349 грн, великий хіт
2. <a href=""https://store.steampowered.com/app/2001120/Split_Fiction/""><b>Split Fiction</b></a> — 30% до 909 грн, критичний фаворит
3. <a href=""https://store.steampowered.com/app/1551360/Forza_Horizon_5/""><b>Forza Horizon 5</b></a> — 50% до 599 грн, великий хіт
4. <a href=""https://store.steampowered.com/app/648800/Raft/""><b>Raft</b></a> — 33% до 186 грн, великий хіт

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","1. <a href=""https://store.steampowered.com/app/252490/Rust/""><b>Rust</b></a> — 50% до 349 грн, великий хіт",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,30,hero_discount,high_value_discount,steam:2001120,Split Fiction,30% off to UAH 909,2,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,234.05,Steam,30% off to UAH 909 | Hero discount | review 97/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/252490/Rust/""><b>Rust</b></a> — 50% до 349 грн, великий хіт
2. <a href=""https://store.steampowered.com/app/2001120/Split_Fiction/""><b>Split Fiction</b></a> — 30% до 909 грн, критичний фаворит
3. <a href=""https://store.steampowered.com/app/1551360/Forza_Horizon_5/""><b>Forza Horizon 5</b></a> — 50% до 599 грн, великий хіт
4. <a href=""https://store.steampowered.com/app/648800/Raft/""><b>Raft</b></a> — 33% до 186 грн, великий хіт

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","2. <a href=""https://store.steampowered.com/app/2001120/Split_Fiction/""><b>Split Fiction</b></a> — 30% до 909 грн, критичний фаворит",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,50,hero_discount,high_value_discount,steam:1551360,Forza Horizon 5,50% off to UAH 599,3,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,233.97,Steam,50% off to UAH 599 | Hero discount | review 89/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/252490/Rust/""><b>Rust</b></a> — 50% до 349 грн, великий хіт
2. <a href=""https://store.steampowered.com/app/2001120/Split_Fiction/""><b>Split Fiction</b></a> — 30% до 909 грн, критичний фаворит
3. <a href=""https://store.steampowered.com/app/1551360/Forza_Horizon_5/""><b>Forza Horizon 5</b></a> — 50% до 599 грн, великий хіт
4. <a href=""https://store.steampowered.com/app/648800/Raft/""><b>Raft</b></a> — 33% до 186 грн, великий хіт

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","3. <a href=""https://store.steampowered.com/app/1551360/Forza_Horizon_5/""><b>Forza Horizon 5</b></a> — 50% до 599 грн, великий хіт",Що взяти зі знижок просто зараз,Big Discount Highlights
Hero discount,33,hero_discount,high_value_discount,steam:648800,Raft,33% off to UAH 186,4,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,226.72,Steam,33% off to UAH 186 | Hero discount | review 93/100,"<b>Що взяти зі знижок просто зараз</b>

🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.

1. <a href=""https://store.steampowered.com/app/252490/Rust/""><b>Rust</b></a> — 50% до 349 грн, великий хіт
2. <a href=""https://store.steampowered.com/app/2001120/Split_Fiction/""><b>Split Fiction</b></a> — 30% до 909 грн, критичний фаворит
3. <a href=""https://store.steampowered.com/app/1551360/Forza_Horizon_5/""><b>Forza Horizon 5</b></a> — 50% до 599 грн, великий хіт
4. <a href=""https://store.steampowered.com/app/648800/Raft/""><b>Raft</b></a> — 33% до 186 грн, великий хіт

Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.

#toplist #steamsale #steam",Верхні позиції тут уже відсіяні як головний маршрут по цій добірці.,"🐱 Йото відсіяв шум і залишив тільки те, що тягне на окремий список. Це короткий зріз по великих тайтлах, у яких цінник уже говорить голосніше за будь-який пітч.","4. <a href=""https://store.steampowered.com/app/648800/Raft/""><b>Raft</b></a> — 33% до 186 грн, великий хіт",Що взяти зі знижок просто зараз,Big Discount Highlights
