bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,score,source,title
planned,"[""breaking_freebie""]",new_offer,[],"{""active"": false, ""linked"": false, ""mode"": ""auto""}",breaking_freebie,"{""forced"": false, ""reasons"": []}",True,epic:68d9f0e261464ba284e10418d98532ea,"[""event_or_freebie""]",planned,189.0,epic,Turnip Boy Robs a Bank
planned,"[""freebie_backlog""]",new_offer,"[""source_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",breaking_freebie,"{""forced"": false, ""reasons"": []}",False,steam:214340,"[""event_or_freebie""]",planned,170.0,steam,Deponia
planned,"[""event_festival""]",new_offer,"[""source_alternation"", ""franchise_alternation""]","{""active"": true, ""linked"": false, ""mode"": ""auto""}",event_festival,"{""forced"": false, ""reasons"": []}",True,event:category:tower_defense,"[""event_or_freebie""]",planned,120.0,event,Steam Tower Defense Fest is on now!
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,[],"{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:255710,"[""review_threshold""]",reserve,196.23,steam,Cities: Skylines
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:413420,"[""review_threshold""]",reserve,191.84,steam,Danganronpa 2: Goodbye Despair
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:582660,"[""review_threshold""]",reserve,189.45,steam,Black Desert
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2698940,"[""review_threshold""]",reserve,186.55,steam,The Crew Motorfest
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:552520,"[""review_threshold""]",reserve,188.96,steam,Far Cry® 5
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:646570,"[""review_threshold""]",reserve,184.28,steam,Slay the Spire
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:47780,"[""review_threshold""]",reserve,185.4,steam,Dead Space™ 2
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:567640,"[""review_threshold""]",reserve,181.76,steam,Danganronpa V3: Killing Harmony
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1693980,"[""review_threshold""]",reserve,183.34,steam,Dead Space
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:394360,"[""review_threshold""]",reserve,179.83,steam,Hearts of Iron IV
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:548430,"[""review_threshold""]",reserve,181.29,steam,Deep Rock Galactic
reserve,"[""high_value_discount"", ""quiet_hours_reserve""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": true, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:960090,"[""review_threshold""]",reserve,178.21,steam,Bloons TD 6
