bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,score,source,title
planned,"[""breaking_freebie""]",final_push,[],"{""active"": false, ""linked"": false, ""mode"": ""auto""}",breaking_freebie,"{""forced"": false, ""reasons"": []}",True,epic:a9748abde1c94b66aae5250bb9fc5503,"[""event_or_freebie""]",planned,194.0,epic,Idle Champions of the Forgotten Realms
planned,"[""freebie_backlog""]",new_offer,"[""source_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",breaking_freebie,"{""forced"": false, ""reasons"": []}",False,steam:214340,"[""event_or_freebie""]",planned,170.0,steam,Deponia
planned,"[""event_festival""]",new_offer,"[""source_alternation"", ""franchise_alternation""]","{""active"": true, ""linked"": false, ""mode"": ""auto""}",event_festival,"{""forced"": false, ""reasons"": []}",True,event:category:tower_defense,"[""event_or_freebie""]",planned,120.0,event,Steam Tower Defense Fest is on now!
planned,"[""high_value_discount""]",new_offer,"[""source_alternation"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:255710,"[""review_threshold""]",planned,201.23,steam,Cities: Skylines
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:304390,"[""review_threshold""]",planned,195.2,steam,FOR HONOR™
planned,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2698940,"[""review_threshold""]",planned,191.55,steam,The Crew Motorfest
reserve,"[""high_value_discount""]",new_offer,[],"{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:582660,"[""review_threshold""]",planned,194.45,steam,Black Desert
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:646570,"[""review_threshold""]",planned,184.28,steam,Slay the Spire
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:552520,"[""review_threshold""]",planned,193.96,steam,Far Cry® 5
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:567640,"[""review_threshold""]",planned,181.76,steam,Danganronpa V3: Killing Harmony
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:588650,"[""review_threshold""]",planned,186.05,steam,Dead Cells
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:394360,"[""review_threshold""]",planned,179.83,steam,Hearts of Iron IV
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1693980,"[""review_threshold""]",planned,183.34,steam,Dead Space
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1158310,"[""review_threshold""]",planned,179.79,steam,Crusader Kings III
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:312520,"[""review_threshold""]",planned,180.14,steam,Rain World
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": true, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:960090,"[""review_threshold""]",planned,178.21,steam,Bloons TD 6
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:780310,"[""review_threshold""]",planned,177.12,steam,The Riftbreaker
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]","{""active"": false, ""linked"": false, ""mode"": ""auto""}",high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:413410,"[""review_threshold""]",planned,175.29,steam,Danganronpa: Trigger Happy Havoc
