callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,telegram_caption_html,telegram_closing_cta,telegram_intro,telegram_item_line,telegram_title,theme_label
Backlog discount,15,mixed,backlog_filler,steam:2778610,Over The Top: WWI,15% off to UAH 397,1,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_04_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,112.52,Steam,15% off to UAH 397 | Backlog discount | review 88/100,"<b>Що ще варте уваги в резерві</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.

1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%
2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%
3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%
4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%
5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%

Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.","Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.",🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.,"1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%",Що ще варте уваги в резерві,Reserve Deals Watch
Backlog discount,20,mixed,backlog_filler,steam:3552140,Retro Rewind - Video Store Simulator,20% off to UAH 312,2,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_04_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,108.61,Steam,20% off to UAH 312 | Backlog discount | review 97/100,"<b>Що ще варте уваги в резерві</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.

1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%
2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%
3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%
4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%
5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%

Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.","Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.",🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.,"2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%",Що ще варте уваги в резерві,Reserve Deals Watch
Backlog discount,20,mixed,backlog_filler,steam:3948120,Scritchy Scratchy,20% off to UAH 84,3,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_04_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,108.25,Steam,20% off to UAH 84 | Backlog discount | review 97/100,"<b>Що ще варте уваги в резерві</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.

1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%
2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%
3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%
4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%
5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%

Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.","Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.",🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.,"3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%",Що ще варте уваги в резерві,Reserve Deals Watch
Backlog discount,10,mixed,backlog_filler,steam:2253100,Everwind,10% off to UAH 535,4,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_04_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,102.25,Steam,10% off to UAH 535 | Backlog discount | review 89/100,"<b>Що ще варте уваги в резерві</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.

1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%
2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%
3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%
4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%
5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%

Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.","Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.",🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.,"4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%",Що ще варте уваги в резерві,Reserve Deals Watch
Backlog discount,12,mixed,backlog_filler,steam:2245620,Tangy TD,12% off to UAH 198,5,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready"", ""quiet_hours_reserve""]",roundup_04_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,101.84,Steam,12% off to UAH 198 | Backlog discount | review 90/100,"<b>Що ще варте уваги в резерві</b>

🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.

1. <a href=""https://store.steampowered.com/app/2778610/Over_The_Top_WWI/""><b>Over The Top: WWI</b></a> - 15% до 397 грн, рейтинг 88%
2. <a href=""https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/""><b>Retro Rewind - Video Store Simulator</b></a> - 20% до 312 грн, рейтинг 97%
3. <a href=""https://store.steampowered.com/app/3948120/Scritchy_Scratchy/""><b>Scritchy Scratchy</b></a> - 20% до 84 грн, рейтинг 97%
4. <a href=""https://store.steampowered.com/app/2253100/Everwind/""><b>Everwind</b></a> - 10% до 535 грн, рейтинг 89%
5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%

Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.","Якщо треба, з цього резерву можна окремо розібрати ще одну добірку під інший настрій.",🐱 Йото витягнув ще кілька помітних пропозицій. Зібрали найкращі резервні пропозиції поточного вікна в один компактний roundup.,"5. <a href=""https://store.steampowered.com/app/2245620/Tangy_TD/""><b>Tangy TD</b></a> - 12% до 198 грн, рейтинг 90%",Що ще варте уваги в резерві,Reserve Deals Watch
